Sun Jun 28 17:27:48 2020 Epoch 0, lr: 0.0000100, train loss: 5.83880, val loss: 0.47677
Sun Jun 28 17:32:42 2020 Epoch 1, lr: 0.0000100, train loss: 0.37766, val loss: 0.27165
Sun Jun 28 17:37:37 2020 Epoch 2, lr: 0.0000100, train loss: 0.24656, val loss: 0.20324
Sun Jun 28 17:42:32 2020 Epoch 3, lr: 0.0000100, train loss: 0.19749, val loss: 0.17481
Sun Jun 28 17:47:26 2020 Epoch 4, lr: 0.0000100, train loss: 0.17108, val loss: 0.16065
Sun Jun 28 17:52:20 2020 Epoch 5, lr: 0.0000100, train loss: 0.15446, val loss: 0.14615
Sun Jun 28 17:57:13 2020 Epoch 6, lr: 0.0000100, train loss: 0.14193, val loss: 0.13520
Sun Jun 28 18:02:07 2020 Epoch 7, lr: 0.0000100, train loss: 0.13273, val loss: 0.12980
Sun Jun 28 18:07:01 2020 Epoch 8, lr: 0.0000100, train loss: 0.12509, val loss: 0.12116
Sun Jun 28 18:11:55 2020 Epoch 9, lr: 0.0000100, train loss: 0.11937, val loss: 0.11823
Sun Jun 28 18:16:48 2020 Epoch 10, lr: 0.0000100, train loss: 0.11463, val loss: 0.11604
Sun Jun 28 18:21:41 2020 Epoch 11, lr: 0.0000100, train loss: 0.11041, val loss: 0.11367
Sun Jun 28 18:26:34 2020 Epoch 12, lr: 0.0000100, train loss: 0.10716, val loss: 0.11174
Sun Jun 28 18:31:27 2020 Epoch 13, lr: 0.0000100, train loss: 0.10383, val loss: 0.10878
Sun Jun 28 18:36:20 2020 Epoch 14, lr: 0.0000100, train loss: 0.10007, val loss: 0.10739
Sun Jun 28 18:40:51 2020 Epoch 15, lr: 0.0000100, train loss: 0.09697, val loss: 0.10810
Sun Jun 28 18:45:23 2020 Epoch 16, lr: 0.0000100, train loss: 0.09479, val loss: 0.10756
Sun Jun 28 18:50:15 2020 Epoch 17, lr: 0.0000100, train loss: 0.09257, val loss: 0.10445
Sun Jun 28 18:55:08 2020 Epoch 18, lr: 0.0000100, train loss: 0.08918, val loss: 0.10439
Sun Jun 28 19:00:01 2020 Epoch 19, lr: 0.0000100, train loss: 0.08705, val loss: 0.10397
