Mon Jul  6 15:52:51 2020 Epoch 0, lr: 0.0000100, train loss: 22.42615, val loss: 2.63946
Mon Jul  6 15:57:35 2020 Epoch 1, lr: 0.0000100, train loss: 1.71683, val loss: 1.47877
Mon Jul  6 16:02:18 2020 Epoch 2, lr: 0.0000100, train loss: 0.99163, val loss: 1.22153
Mon Jul  6 16:07:02 2020 Epoch 3, lr: 0.0000100, train loss: 0.75557, val loss: 1.14088
Mon Jul  6 16:11:45 2020 Epoch 4, lr: 0.0000100, train loss: 0.64347, val loss: 1.13011
Mon Jul  6 16:16:29 2020 Epoch 5, lr: 0.0000100, train loss: 0.57336, val loss: 1.12821
Mon Jul  6 16:20:52 2020 Epoch 6, lr: 0.0000100, train loss: 0.52729, val loss: 1.14894
Mon Jul  6 16:25:14 2020 Epoch 7, lr: 0.0000100, train loss: 0.49402, val loss: 1.22369
Mon Jul  6 16:29:36 2020 Epoch 8, lr: 0.0000100, train loss: 0.46695, val loss: 1.21919
Mon Jul  6 16:34:01 2020 Epoch 9, lr: 0.0000100, train loss: 0.44543, val loss: 1.35492
Mon Jul  6 16:38:25 2020 Epoch 10, lr: 0.0000100, train loss: 0.42888, val loss: 1.33133
Mon Jul  6 16:42:48 2020 Epoch 11, lr: 0.0000100, train loss: 0.41238, val loss: 1.41677
Mon Jul  6 16:47:12 2020 Epoch 12, lr: 0.0000100, train loss: 0.39889, val loss: 1.52096
Mon Jul  6 16:51:34 2020 Epoch 13, lr: 0.0000100, train loss: 0.38482, val loss: 1.50475
Mon Jul  6 16:55:56 2020 Epoch 14, lr: 0.0000100, train loss: 0.37544, val loss: 1.59778
Mon Jul  6 17:00:18 2020 Epoch 15, lr: 0.0000100, train loss: 0.36275, val loss: 1.62964
Mon Jul  6 17:04:41 2020 Epoch 16, lr: 0.0000100, train loss: 0.35060, val loss: 1.66667
Mon Jul  6 17:09:03 2020 Epoch 17, lr: 0.0000100, train loss: 0.34000, val loss: 1.67310
Mon Jul  6 17:13:25 2020 Epoch 18, lr: 0.0000100, train loss: 0.32916, val loss: 1.69347
Mon Jul  6 17:17:47 2020 Epoch 19, lr: 0.0000100, train loss: 0.31608, val loss: 1.80104
Tue Jul  7 10:34:36 2020 Epoch 0, lr: 0.0000100, train loss: 23.98257, val loss: 2.79238
Tue Jul  7 10:39:18 2020 Epoch 1, lr: 0.0000100, train loss: 1.56462, val loss: 1.22167
Tue Jul  7 10:43:59 2020 Epoch 2, lr: 0.0000100, train loss: 0.83055, val loss: 0.84650
Tue Jul  7 10:48:40 2020 Epoch 3, lr: 0.0000100, train loss: 0.60913, val loss: 0.69653
Tue Jul  7 10:53:20 2020 Epoch 4, lr: 0.0000100, train loss: 0.50680, val loss: 0.61401
Tue Jul  7 10:58:01 2020 Epoch 5, lr: 0.0000100, train loss: 0.45093, val loss: 0.57270
Tue Jul  7 11:02:41 2020 Epoch 6, lr: 0.0000100, train loss: 0.41410, val loss: 0.54004
Tue Jul  7 11:07:22 2020 Epoch 7, lr: 0.0000100, train loss: 0.38972, val loss: 0.52165
Tue Jul  7 11:12:03 2020 Epoch 8, lr: 0.0000100, train loss: 0.37069, val loss: 0.50974
Tue Jul  7 11:16:43 2020 Epoch 9, lr: 0.0000100, train loss: 0.35739, val loss: 0.49652
Tue Jul  7 11:21:24 2020 Epoch 10, lr: 0.0000100, train loss: 0.34522, val loss: 0.49298
Tue Jul  7 11:26:05 2020 Epoch 11, lr: 0.0000100, train loss: 0.33586, val loss: 0.48695
Tue Jul  7 11:30:45 2020 Epoch 12, lr: 0.0000100, train loss: 0.32623, val loss: 0.48206
Tue Jul  7 11:35:26 2020 Epoch 13, lr: 0.0000100, train loss: 0.31795, val loss: 0.48093
Tue Jul  7 11:39:45 2020 Epoch 14, lr: 0.0000100, train loss: 0.31059, val loss: 0.48127
Tue Jul  7 11:44:04 2020 Epoch 15, lr: 0.0000100, train loss: 0.30105, val loss: 0.48172
Tue Jul  7 11:48:44 2020 Epoch 16, lr: 0.0000100, train loss: 0.29470, val loss: 0.48050
Tue Jul  7 11:53:03 2020 Epoch 17, lr: 0.0000100, train loss: 0.28744, val loss: 0.48483
Tue Jul  7 11:57:22 2020 Epoch 18, lr: 0.0000100, train loss: 0.28085, val loss: 0.48211
Tue Jul  7 12:02:02 2020 Epoch 19, lr: 0.0000100, train loss: 0.27486, val loss: 0.47753
