Fri Jul 10 11:05:31 2020 Epoch 0, lr: 0.0010000, train loss: 8.04522, val loss: 8.47661
Fri Jul 10 11:10:18 2020 Epoch 1, lr: 0.0010000, train loss: 6.21522, val loss: 6.78537
Fri Jul 10 11:15:04 2020 Epoch 2, lr: 0.0010000, train loss: 5.23645, val loss: 6.57224
Fri Jul 10 11:19:52 2020 Epoch 3, lr: 0.0010000, train loss: 4.28680, val loss: 5.52692
Fri Jul 10 11:24:39 2020 Epoch 4, lr: 0.0010000, train loss: 3.61957, val loss: 4.72819
Fri Jul 10 11:29:26 2020 Epoch 5, lr: 0.0010000, train loss: 3.26740, val loss: 4.22852
Fri Jul 10 11:33:54 2020 Epoch 6, lr: 0.0010000, train loss: 2.94172, val loss: 4.24818
Fri Jul 10 11:38:20 2020 Epoch 7, lr: 0.0010000, train loss: 2.79988, val loss: 4.39695
Fri Jul 10 11:43:07 2020 Epoch 8, lr: 0.0010000, train loss: 2.58093, val loss: 3.85586
Fri Jul 10 11:47:34 2020 Epoch 9, lr: 0.0010000, train loss: 2.50289, val loss: 4.72597
Fri Jul 10 11:52:00 2020 Epoch 10, lr: 0.0010000, train loss: 2.30573, val loss: 4.18891
Fri Jul 10 11:56:26 2020 Epoch 11, lr: 0.0010000, train loss: 2.20922, val loss: 4.45389
Fri Jul 10 12:00:52 2020 Epoch 12, lr: 0.0010000, train loss: 2.18730, val loss: 4.41115
Fri Jul 10 12:05:18 2020 Epoch 13, lr: 0.0010000, train loss: 2.03196, val loss: 4.96834
Fri Jul 10 12:09:45 2020 Epoch 14, lr: 0.0010000, train loss: 1.88947, val loss: 4.28520
Fri Jul 10 12:14:11 2020 Epoch 15, lr: 0.0010000, train loss: 1.74593, val loss: 4.80098
Fri Jul 10 12:18:37 2020 Epoch 16, lr: 0.0010000, train loss: 1.69004, val loss: 4.75905
Fri Jul 10 12:23:02 2020 Epoch 17, lr: 0.0010000, train loss: 1.59086, val loss: 4.46250
Fri Jul 10 12:27:28 2020 Epoch 18, lr: 0.0010000, train loss: 1.49986, val loss: 4.86031
Fri Jul 10 12:31:53 2020 Epoch 19, lr: 0.0010000, train loss: 1.36075, val loss: 4.82151
Fri Jul 10 14:37:24 2020 Epoch 0, lr: 0.0010000, train loss: 9.00325, val loss: 8.11129
Fri Jul 10 14:42:10 2020 Epoch 1, lr: 0.0010000, train loss: 7.02135, val loss: 8.32439
Fri Jul 10 14:46:56 2020 Epoch 2, lr: 0.0010000, train loss: 6.25043, val loss: 11.39999
Fri Jul 10 14:52:04 2020 Epoch 3, lr: 0.0010000, train loss: 5.27106, val loss: 6.29549
Fri Jul 10 14:57:13 2020 Epoch 4, lr: 0.0010000, train loss: 4.51553, val loss: 5.79228
Fri Jul 10 15:02:00 2020 Epoch 5, lr: 0.0010000, train loss: 4.01124, val loss: 5.87811
Fri Jul 10 15:06:48 2020 Epoch 6, lr: 0.0010000, train loss: 3.68822, val loss: 5.89731
Fri Jul 10 15:11:34 2020 Epoch 7, lr: 0.0010000, train loss: 3.47177, val loss: 6.00670
Fri Jul 10 15:16:22 2020 Epoch 8, lr: 0.0010000, train loss: 3.22833, val loss: 6.28263
Fri Jul 10 15:21:10 2020 Epoch 9, lr: 0.0010000, train loss: 3.08684, val loss: 6.04779
Fri Jul 10 15:25:57 2020 Epoch 10, lr: 0.0010000, train loss: 2.93737, val loss: 6.74970
Fri Jul 10 15:30:44 2020 Epoch 11, lr: 0.0010000, train loss: 2.80398, val loss: 6.99418
Fri Jul 10 15:35:31 2020 Epoch 12, lr: 0.0010000, train loss: 2.66226, val loss: 6.90244
Fri Jul 10 15:40:18 2020 Epoch 13, lr: 0.0010000, train loss: 2.49634, val loss: 7.61064
Fri Jul 10 15:45:05 2020 Epoch 14, lr: 0.0010000, train loss: 2.36912, val loss: 6.87012
Fri Jul 10 15:49:53 2020 Epoch 15, lr: 0.0010000, train loss: 2.30298, val loss: 6.97390
