Sat Jul 11 14:09:09 2020 Epoch 0, lr: 0.0010000, train loss: 15.18045, val loss: 15.18045
Sat Jul 11 14:10:11 2020 Epoch 1, lr: 0.0010000, train loss: 12.09639, val loss: 12.09639
Sat Jul 11 14:11:13 2020 Epoch 2, lr: 0.0010000, train loss: 11.32688, val loss: 11.32688
Sat Jul 11 14:12:15 2020 Epoch 3, lr: 0.0010000, train loss: 10.89787, val loss: 10.89787
Sat Jul 11 14:13:18 2020 Epoch 4, lr: 0.0010000, train loss: 10.54106, val loss: 10.54106
Sat Jul 11 14:15:41 2020 Epoch 0, lr: 0.0010000, train loss: 15.16077, val loss: 15.16077
Sat Jul 11 14:16:43 2020 Epoch 1, lr: 0.0010000, train loss: 11.81789, val loss: 11.81789
Sat Jul 11 14:17:46 2020 Epoch 2, lr: 0.0010000, train loss: 11.27637, val loss: 11.27637
Sat Jul 11 14:18:48 2020 Epoch 3, lr: 0.0010000, train loss: 10.81198, val loss: 10.81198
Sat Jul 11 14:19:50 2020 Epoch 4, lr: 0.0010000, train loss: 10.53137, val loss: 10.53137
Sat Jul 11 14:20:53 2020 Epoch 5, lr: 0.0010000, train loss: 10.39058, val loss: 10.39058
Sat Jul 11 14:21:55 2020 Epoch 6, lr: 0.0010000, train loss: 10.08419, val loss: 10.08419
Sat Jul 11 14:22:57 2020 Epoch 7, lr: 0.0010000, train loss: 10.03334, val loss: 10.03334
Sat Jul 11 14:23:46 2020 Epoch 8, lr: 0.0010000, train loss: 10.20793, val loss: 10.20793
Sat Jul 11 14:24:34 2020 Epoch 9, lr: 0.0010000, train loss: 10.11465, val loss: 10.11465
Sat Jul 11 14:25:36 2020 Epoch 10, lr: 0.0010000, train loss: 9.74132, val loss: 9.74132
Sat Jul 11 14:26:39 2020 Epoch 11, lr: 0.0010000, train loss: 9.73930, val loss: 9.73930
Sat Jul 11 14:27:41 2020 Epoch 12, lr: 0.0010000, train loss: 9.57857, val loss: 9.57857
