Sat Jul 11 17:15:28 2020 Epoch 0, lr: 0.0010000, train loss: 10.41426, val loss: 10.41426
Sat Jul 11 17:24:00 2020 Epoch 0, lr: 0.0010000, train loss: 10.31815, val loss: 11.62918
Sat Jul 11 17:29:54 2020 Epoch 1, lr: 0.0010000, train loss: 7.99374, val loss: 10.34392
Sat Jul 11 18:23:38 2020 Epoch 0, lr: 0.0010000, train loss: 9.46446, val loss: 9.72627
Sat Jul 11 18:29:30 2020 Epoch 1, lr: 0.0010000, train loss: 7.44121, val loss: 7.67230
Sat Jul 11 18:35:14 2020 Epoch 2, lr: 0.0010000, train loss: 6.16341, val loss: 7.80995
Sat Jul 11 18:40:57 2020 Epoch 3, lr: 0.0010000, train loss: 5.19262, val loss: 8.34778
Sat Jul 11 18:46:49 2020 Epoch 4, lr: 0.0010000, train loss: 4.44612, val loss: 5.89716
Sat Jul 11 18:52:33 2020 Epoch 5, lr: 0.0010000, train loss: 3.87904, val loss: 6.67838
Sat Jul 11 18:58:16 2020 Epoch 6, lr: 0.0010000, train loss: 3.66866, val loss: 6.06204
Sat Jul 11 19:04:09 2020 Epoch 7, lr: 0.0010000, train loss: 3.36134, val loss: 5.38455
Sat Jul 11 19:10:02 2020 Epoch 8, lr: 0.0010000, train loss: 3.31431, val loss: 5.13018
Sat Jul 11 19:15:47 2020 Epoch 9, lr: 0.0010000, train loss: 2.98773, val loss: 6.05871
Sat Jul 11 19:21:41 2020 Epoch 10, lr: 0.0010000, train loss: 2.85085, val loss: 4.47270
Sat Jul 11 19:27:27 2020 Epoch 11, lr: 0.0010000, train loss: 2.62167, val loss: 4.81901
Sat Jul 11 19:33:20 2020 Epoch 12, lr: 0.0010000, train loss: 2.43284, val loss: 4.44678
Sat Jul 11 19:39:12 2020 Epoch 13, lr: 0.0010000, train loss: 2.23713, val loss: 4.40739
Sat Jul 11 19:44:55 2020 Epoch 14, lr: 0.0010000, train loss: 2.21956, val loss: 4.78971
Sat Jul 11 19:50:38 2020 Epoch 15, lr: 0.0010000, train loss: 2.14703, val loss: 4.98726
Sat Jul 11 19:56:22 2020 Epoch 16, lr: 0.0010000, train loss: 2.00124, val loss: 4.52574
Sat Jul 11 20:02:05 2020 Epoch 17, lr: 0.0010000, train loss: 1.75029, val loss: 5.09633
Sat Jul 11 20:07:48 2020 Epoch 18, lr: 0.0010000, train loss: 1.60299, val loss: 5.37225
Sat Jul 11 20:13:31 2020 Epoch 19, lr: 0.0010000, train loss: 1.54621, val loss: 6.10789
Sat Jul 11 20:19:15 2020 Epoch 20, lr: 0.0010000, train loss: 1.39840, val loss: 6.23680
Sat Jul 11 20:24:58 2020 Epoch 21, lr: 0.0010000, train loss: 1.30262, val loss: 8.09892
Sat Jul 11 20:30:41 2020 Epoch 22, lr: 0.0010000, train loss: 1.40565, val loss: 6.12180
Sat Jul 11 20:36:24 2020 Epoch 23, lr: 0.0010000, train loss: 1.41456, val loss: 8.17114
Sat Jul 11 20:42:07 2020 Epoch 24, lr: 0.0010000, train loss: 1.18003, val loss: 7.28786
Sat Jul 11 20:47:50 2020 Epoch 25, lr: 0.0010000, train loss: 1.02111, val loss: 8.20845
Sat Jul 11 20:53:34 2020 Epoch 26, lr: 0.0010000, train loss: 0.95686, val loss: 10.56506
Sat Jul 11 20:59:17 2020 Epoch 27, lr: 0.0010000, train loss: 0.97643, val loss: 8.75199
Sat Jul 11 21:05:00 2020 Epoch 28, lr: 0.0010000, train loss: 0.86668, val loss: 8.69860
